female,callback,skillspeaking,skillsocialper,east_asian,south_asian,anglo,vancouver,toronto,montreal
0,0,58.8235294117647,51.5625,0,1,0,0,1,0
0,1,58.8235294117647,51.5625,1,0,0,0,1,0
1,0,72.54901960784314,53.125,0,0,1,0,1,0
1,0,72.54901960784314,53.125,1,0,0,0,1,0
1,0,72.54901960784314,53.125,1,0,0,0,1,0
0,0,72.54901960784314,53.125,0,1,0,0,1,0
0,0,58.8235294117647,51.5625,0,1,0,0,1,0
0,0,58.8235294117647,51.5625,0,1,0,0,1,0
1,0,58.8235294117647,51.5625,0,0,1,0,1,0
1,0,70.58823529411764,70.3125,0,1,0,0,1,0
0,0,70.58823529411764,70.3125,0,0,1,0,1,0
1,0,70.58823529411764,70.3125,0,1,0,0,1,0
0,0,74.50980392156862,57.8125,0,1,0,0,1,0
0,0,74.50980392156862,57.8125,1,0,0,0,1,0
1,1,74.50980392156862,57.8125,0,0,1,0,1,0
0,0,39.2156862745098,43.75,1,0,0,0,1,0
1,0,39.2156862745098,43.75,0,0,0,0,1,0
1,0,39.2156862745098,43.75,0,1,0,0,1,0
1,0,39.2156862745098,43.75,1,0,0,0,1,0
1,1,78.4313725490196,68.75,0,1,0,0,1,0
0,1,78.4313725490196,68.75,1,0,0,0,1,0
1,1,78.4313725490196,68.75,0,0,1,0,1,0
0,1,78.4313725490196,68.75,0,1,0,0,1,0
1,0,58.8235294117647,51.5625,0,1,0,0,1,0
1,0,58.8235294117647,51.5625,0,1,0,0,1,0
1,0,58.8235294117647,51.5625,0,0,1,0,1,0
1,0,64.70588235294117,65.625,0,1,0,0,1,0
1,0,64.70588235294117,65.625,0,1,0,0,1,0
1,0,64.70588235294117,65.625,0,0,1,0,1,0
1,1,76.47058823529412,42.1875,1,0,0,0,1,0
0,1,76.47058823529412,42.1875,1,0,0,0,1,0
0,1,76.47058823529412,42.1875,0,1,0,0,1,0
0,1,76.47058823529412,42.1875,0,0,0,0,1,0
1,0,50.98039215686274,53.125,0,0,1,0,1,0
0,0,50.98039215686274,53.125,0,1,0,0,1,0
0,0,50.98039215686274,53.125,1,0,0,0,1,0
1,0,54.90196078431372,31.25,1,0,0,0,0,1
1,0,54.90196078431372,31.25,0,0,1,0,0,1
1,0,54.90196078431372,31.25,0,1,0,0,0,1
1,0,54.90196078431372,31.25,1,0,0,0,0,1
0,0,74.50980392156862,62.5,0,1,0,0,1,0
1,0,74.50980392156862,62.5,0,0,1,0,1,0
1,0,74.50980392156862,62.5,1,0,0,0,1,0
0,0,74.50980392156862,62.5,1,0,0,0,1,0
0,0,54.90196078431372,31.25,1,0,0,0,1,0
1,0,54.90196078431372,31.25,0,1,0,0,1,0
1,0,54.90196078431372,31.25,0,1,0,0,1,0
0,0,54.90196078431372,31.25,0,0,1,0,1,0
0,0,54.90196078431372,31.25,1,0,0,0,1,0
1,0,54.90196078431372,31.25,0,1,0,0,1,0
