language_skills,accreditation,reference,ma,female,certificate,ba_quality,exp_highquality,callback,extracurricular_skills,skillspeaking,skillsocialper,skillwriting
0.0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0,70.0,50.0,67.0
0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1,70.0,50.0,67.0
1.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,81.0,57.0,70.0
0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,81.0,57.0,70.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,81.0,57.0,70.0
1.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,85.0,67.0,69.0
1.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,85.0,67.0,69.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,72.0,63.0,80.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,72.0,63.0,80.0
1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,72.0,63.0,80.0
0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1,72.0,63.0,80.0
0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,72.0,63.0,80.0
0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,72.0,63.0,80.0
0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1,78.0,75.0,75.0
1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,78.0,75.0,75.0
1.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,78.0,75.0,75.0
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,79.0,64.0,73.0
0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0,79.0,64.0,73.0
0.0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,1,79.0,64.0,73.0
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,80.0,67.0,56.0
1.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1,80.0,67.0,56.0
1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,80.0,67.0,56.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,68.0,64.0,56.0
1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,68.0,64.0,56.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,68.0,64.0,56.0
0.0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1,72.0,63.0,80.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0,72.0,63.0,80.0
